nu,unc,A,S,"E""",g',"g""",J',"J""",Grve',v1',v2',v3',Ka',Kc',"Grve""","v1""","v2""","v3""","Ka""","Kc"""
6879.539489,5.7e-05,0.0048522,7.286108096454246e-28,1045.058261,11,13,5,6, A2,0,0,2,3,3, A1,0,0,0,6,0
6879.761993,2.7e-05,0.0023944,3.629703403084653e-24,212.156362,27,21,4,3, B2,0,2,1,0,4, B1,0,0,0,2,1
6879.828553,7e-05,0.20401,3.96956897243399e-26,1050.157545,15,17,7,8, A1,1,0,1,1,6, A2,0,0,0,3,5
6880.0081,6.7e-05,0.0097733,6.8475317663214445e-25,446.6966,13,13,6,6, A2,1,2,0,1,5, A1,0,0,0,0,6
6880.016221,4.6e-05,7.494e-05,1.4966669126550628e-30,1411.611293,57,51,9,8, B2,1,0,1,2,8, B1,0,0,0,6,3
6880.071265,3e-05,0.0048605,2.37765732601315e-24,325.347904,27,33,4,5, B2,0,2,1,2,2, B1,0,0,0,0,5
6880.095279,3e-05,0.01681,3.8108566085995465e-25,542.90578,11,13,5,6, A1,0,2,1,3,2, A2,0,0,0,1,5
6880.101933,6.1e-05,0.037642,5.544930059760479e-25,602.773495,13,13,6,6, A2,1,2,0,3,3, A1,0,0,0,2,4
6880.24828,0.000169,8.2689e-06,3.335506841570063e-29,842.356519,39,45,6,7, B1,0,4,0,6,1, B2,0,0,0,3,4
6880.285733,6.7e-05,0.10206,9.698838261040375e-29,1616.452339,21,21,10,10, A2,1,0,1,2,9, A1,0,0,0,4,6
6880.544063,6.3e-05,1.9247,1.2858273483355155e-28,1817.451157,11,9,5,4, A2,0,3,1,0,5, A1,0,1,0,0,4
6880.564509,9.3e-05,3.8512e-05,2.884941419325334e-29,927.743868,17,15,8,7, A2,0,4,0,5,3, A1,0,0,0,4,4
6880.624442,6.6e-05,0.014649,4.887396141297469e-28,1360.235002,57,57,9,9, B2,2,0,0,1,8, B1,0,0,0,4,5
6880.794718,6.6e-05,3.0645,8.850769950067649e-30,2205.65174,23,25,11,12, A2,1,0,1,4,7, A1,0,0,0,4,8
6880.865444,0.000106,0.0026193,1.9595323741920469e-25,488.107694,21,27,3,4, B2,2,0,0,1,2, B1,0,0,0,4,1
6880.885234,4.7e-05,1.9213,3.694067975133789e-28,1821.596591,33,27,5,4, B1,0,3,1,1,5, B2,0,1,0,1,4
6881.109718,6.5e-05,0.15059,6.009533404136644e-29,1813.222656,63,69,10,11, B1,0,0,2,2,9, B2,0,0,0,3,8
6881.145183,6.2e-05,0.032173,1.3885854182476052e-26,982.911525,17,17,8,8, A2,1,2,0,3,5, A1,0,0,0,2,6
6881.216572,5.3e-05,8.8636e-05,3.2005688786535524e-28,757.78015,15,13,7,6, A2,1,2,0,3,5, A1,0,0,0,4,2
6881.458479,5.7e-05,0.0048979,3.757268946904563e-24,300.362286,33,27,5,4, B2,1,2,0,1,4, B1,0,0,0,2,3
6881.560648,3.2e-05,0.010196,3.628009223272508e-24,222.052782,7,9,3,4, A2,0,2,1,2,1, A1,0,0,0,0,4
6881.924537,3e-05,2.9199e-05,1.7300881179814938e-27,446.6966,11,13,5,6, A2,1,2,0,3,3, A1,0,0,0,0,6
6882.374534,4.8e-05,0.021978,1.890591803917428e-27,1131.775436,15,17,7,8, A2,0,0,2,1,7, A1,0,0,0,4,4
6882.434249,0.00011,0.75267,7.280354091604344e-22,37.137121,3,3,1,1, A1,0,2,1,1,0, A2,0,0,0,1,1
